CASEID,recid,wght_per,wght_csp,wght_snt,spltsmpl,whw120gr,whw_230,whw_240,jsr_01gr,jsr_02,jsr_03,jsr_04,jsr_05,jsr_06,jsr_07,jsr_08,jsr_09,jsr_10,wir_01,wir_02,wir_03,wir_04,wir_05,wir_06,wir_07,heh_01,heh_02,heh_03,heh_04,heh_09,heh_10,heh_11,drr_110,smk_05,srh_110,srh_115,fam_03,fam_04,smg_01,smg_02,ttlincg2,famincg2
 1920, 1920,  222.6942,  406.1208,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 5, 4, 0,7,6, 7,3,4,2,6,6,4, 6,1,1
 1921, 1921, 4514.1931,    0.0000, 7512.7393,1,3, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 4, 5, 4, 0,3,3, 5,3,1,1,2,2,3, 4,6,6
 1922, 1922,  967.5422,    0.0000, 1785.9054,1,3, 6,2,6,1,96,2,6,6,1,1,2,1,1,2,3,1,3,2,7,2, 3, 3, 5, 0,2,4, 4,3,2,1,1,1,1,96,4,5
 1923, 1923,  936.1064, 1850.7556,    0.0000,2,3, 1,6,6,1,96,2,6,6,2,2,1,1,2,1,1,2,5,2,1,3, 4, 2, 1, 1,4,4, 5,3,3,1,6,6,3, 5,3,3
 1924, 1924,  645.0151, 1065.6679,    0.0000,2,3, 1,6,6,1,96,2,6,6,2,1,1,1,2,1,3,1,3,1,1,3, 4, 5, 4, 0,1,3, 7,3,1,1,1,1,1,96,2,3
 1925, 1925, 5992.8860,    0.0000, 8432.0121,1,1, 7,1,6,2,96,2,6,6,2,2,1,2,2,2,2,2,3,2,2,3, 2, 4, 4, 1,5,6, 7,3,3,2,1,1,2, 5,6,6
 1926, 1926,  596.2762,    0.0000, 1104.4859,1,3, 4,1,6,2,96,2,6,6,1,1,1,1,3,2,1,1,3,2,1,4, 3, 3, 3, 0,1,3, 2,1,3,1,2,2,3, 3,1,4
 1927, 1927,  707.9868, 1372.0804,    0.0000,2,4, 8,2,6,1,96,2,6,6,4,1,1,1,2,1,2,3,4,2,2,3, 5, 5, 3, 0,1,3, 6,2,3,3,1,1,3, 5,2,6
 1928, 1928,  914.2706,    0.0000, 2051.7214,1,1, 7,1,6,2,96,2,6,6,2,2,2,1,2,3,3,2,3,1,2,3, 3, 5, 1, 8,4,4, 5,3,3,3,2,2,2, 5,2,3
 1929, 1929,  422.3273,  858.0760,    0.0000,2,4, 9,6,2,6,96,2,6,6,6,6,1,1,2,2,2,6,6,2,6,3, 4, 5, 6, 0,5,6, 7,3,2,2,6,6,2, 7,1,1
 1930, 1930, 1577.9110,    0.0000, 2714.2935,1,1, 4,1,6,2,96,1,5,1,3,3,3,3,1,3,3,2,2,2,2,2, 4, 5, 3, 1,3,5, 2,3,2,2,2,2,3, 4,1,6
 1931, 1931,  439.2716, 1675.3028,    0.0000,2,4, 6,1,6,2,96,2,6,6,1,2,1,3,1,4,3,1,3,2,2,1, 3, 5, 4, 0,3,5, 3,3,1,2,1,1,3, 7,4,5
 1932, 1932,  490.5896,    0.0000, 1414.8999,1,1, 7,1,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 1, 3, 1, 0,4,4, 6,3,3,4,6,6,5, 2,1,1
 1933, 1933, 1464.9708,    0.0000, 2278.5827,1,4, 4,2,6,2,96,2,6,6,3,2,3,3,2,4,2,2,5,1,1,3, 2, 3, 5, 2,4,5, 5,3,2,3,6,6,4, 3,5,5
 1934, 1934,  716.0391, 1678.1229,    0.0000,2,3, 1,6,6,4, 1,1,5,1,2,3,3,1,4,5,1,4,5,1,2,3, 4, 5, 3, 0,5,6, 5,1,3,5,9,9,4, 2,2,4
 1935, 1935, 7053.1145,14326.4125,    0.0000,2,3, 1,6,6,2,96,2,6,6,3,3,3,3,3,3,3,3,3,2,2,5, 2, 3, 1, 3,3,3, 7,3,3,3,2,2,3, 6,2,2
 1936, 1936, 1115.1386, 2712.6140,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 4, 5, 4, 1,4,4, 3,3,4,3,6,6,4, 3,2,2
 1937, 1937, 2097.3677,    0.0000, 3534.9576,1,3, 1,6,6,5, 1,1,2,2,5,5,5,5,5,5,5,5,5,1,1,1, 5, 3, 1, 0,4,2, 4,3,1,1,1,1,4, 1,1,5
 1938, 1938,  535.4339, 1290.1500,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 5, 4, 1,4,3, 1,3,1,1,6,6,3, 3,3,3
 1939, 1939,  249.1701,    0.0000,  409.2390,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 6,96,96,96,6,6, 7,3,2,1,1,1,1,96,1,2
 1940, 1940,  750.8393,    0.0000, 1307.5594,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 6,96,96,96,6,6, 5,3,3,2,6,6,2, 6,2,2
